date,observer,site,plot,quadrat,id,1_pa,2_pa,3_pa,4_pa,5_pa,6_pa,7_pa,8_pa,9_pa,cover,notes
2/11/2016,Pandora Holliday,S2,10,4,Smooth flatweed,0,0,1,0,0,1,1,0,0,3,
2/11/2016,Pandora Holliday,S2,10,4,smooth dry stem tussock,0,0,0,1,0,0,0,0,0,5,Possibly rats tail spp.
2/11/2016,Pandora Holliday,S2,10,4,Ringed Wallaby,0,0,0,0,1,0,0,0,0,2,
2/11/2016,Pandora Holliday,S2,10,4,Small cranesbill,0,0,0,0,1,0,0,0,1,1,
2/11/2016,Pandora Holliday,S2,10,4,Thin fuzzy grass,0,0,0,0,0,1,0,0,0,1,
2/11/2016,Pandora Holliday,S2,10,4,Poa lab,0,0,0,0,0,0,1,0,0,1,
2/11/2016,Pandora Holliday,S2,10,4,Ferny cranesbill,0,0,0,0,0,0,0,1,0,1,
2/11/2016,Pandora Holliday,S2,10,4,Aira,0,0,0,0,0,0,0,1,0,3,
2/11/2016,Pandora Holliday,S2,10,4,Saffron thistle,0,0,0,0,0,0,0,0,1,1,
2/11/2016,Pandora Holliday,S2,10,4,Micro laena,0,0,0,0,0,0,0,0,1,2,
2/11/2016,Pandora Holliday,S2,10,4,Bareground,0,0,0,0,0,0,0,0,0,15,
2/11/2016,Pandora Holliday,S2,10,4,Litter,0,0,0,0,0,0,0,0,0,25,
2/11/2016,Pandora Holliday,S2,10,2,Tri sub,1,1,1,1,1,1,1,1,1,40,
2/11/2016,Pandora Holliday,S2,10,2,Redgrass,1,1,1,1,1,1,1,1,1,60,
2/11/2016,Pandora Holliday,S2,10,2,Plantain,1,1,1,0,0,1,0,0,1,15,
2/11/2016,Pandora Holliday,S2,10,2,Skeleton weed,0,1,1,1,1,1,1,1,0,12,
2/11/2016,Pandora Holliday,S2,10,2,Bro hor,1,0,0,1,1,1,1,0,0,15,
2/11/2016,Pandora Holliday,S2,10,2,Aus scab,0,0,0,0,0,0,0,0,1,2,
2/11/2016,Pandora Holliday,S2,10,2,Hairy flatweed,1,1,1,1,1,1,0,1,1,12,
2/11/2016,Pandora Holliday,S2,10,2,Smooth flatweed,1,0,0,0,0,0,0,0,0,3,
2/11/2016,Pandora Holliday,S2,10,2,Aus big,1,0,0,0,0,0,1,0,0,15,
2/11/2016,Pandora Holliday,S2,10,2,Vulpia m,1,1,1,1,1,1,1,1,1,10,
2/11/2016,Pandora Holliday,S2,10,2,Hounds tongue,0,1,0,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,10,2,Tri arv,0,0,0,1,1,1,1,1,1,15,
2/11/2016,Pandora Holliday,S2,10,2,St Johns wort,0,0,0,0,0,0,1,1,0,1,
2/11/2016,Pandora Holliday,S2,10,2,Tri scab,0,0,0,0,0,0,0,0,1,1,
2/11/2016,Pandora Holliday,S2,10,2,Litter,0,0,0,0,0,0,0,0,0,35,
2/11/2016,Pandora Holliday,S2,10,1,Tri sub,1,1,1,1,1,1,1,1,1,75,
2/11/2016,Pandora Holliday,S2,10,1,Vulpia m,1,1,1,1,1,1,1,1,1,10,
2/11/2016,Pandora Holliday,S2,10,1,Aus scab,1,1,0,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,10,1,Aus big,1,0,0,0,0,0,0,0,0,2,
2/11/2016,Pandora Holliday,S2,10,1,Tri arv,1,1,1,1,0,1,0,1,1,10,
2/11/2016,Pandora Holliday,S2,10,1,Hairy flatweed,1,0,1,1,1,1,1,1,1,15,
2/11/2016,Pandora Holliday,S2,10,1,Ringed Wallaby,1,0,0,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,10,1,Skeleton weed,0,1,0,0,0,0,0,0,0,5,
2/11/2016,Pandora Holliday,S2,10,1,Redgrass,0,1,1,1,0,1,1,0,1,60,
2/11/2016,Pandora Holliday,S2,10,1,Bro hor,0,0,1,0,1,1,1,1,1,3,
2/11/2016,Pandora Holliday,S2,10,1,Plantain,0,0,0,0,1,1,0,1,1,10,
2/11/2016,Pandora Holliday,S2,10,1,Smooth flatweed,0,0,0,0,1,0,1,1,1,10,
2/11/2016,Pandora Holliday,S2,10,1,Pinecone grass,0,0,0,0,1,1,0,1,0,2,
2/11/2016,Pandora Holliday,S2,10,1,Con rub,0,0,0,0,1,0,0,0,1,3,
2/11/2016,Pandora Holliday,S2,10,1,Lomandra,0,0,0,0,1,0,0,1,0,3,
2/11/2016,Pandora Holliday,S2,10,1,Litter,0,0,0,0,0,0,0,0,0,50,
2/11/2016,Pandora Holliday,S2,9,3,Aira,1,1,1,1,1,1,1,1,1,60,
2/11/2016,Pandora Holliday,S2,9,3,Themeda,0,1,0,1,0,1,0,1,0,12,
2/11/2016,Pandora Holliday,S2,9,3,Plantain,1,1,1,1,0,1,0,0,0,15,
2/11/2016,Pandora Holliday,S2,9,3,Toothed Plantain,1,1,1,0,1,1,0,1,1,15,
2/11/2016,Pandora Holliday,S2,9,3,Tri arv,1,1,1,1,1,1,1,1,1,10,
2/11/2016,Pandora Holliday,S2,9,3,St Johns wort,1,0,0,1,1,0,0,0,0,3,
2/11/2016,Pandora Holliday,S2,9,3,Bro hor,1,1,0,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,3,Redgrass,1,1,1,0,0,0,1,1,0,6,
2/11/2016,Pandora Holliday,S2,9,3,Aus big,1,0,0,0,0,1,0,0,0,2,
2/11/2016,Pandora Holliday,S2,9,3,Tri dub,1,1,1,1,1,0,1,0,1,8,
2/11/2016,Pandora Holliday,S2,9,3,Tri scab,1,0,1,0,1,0,1,1,0,5,
2/11/2016,Pandora Holliday,S2,9,3,Hairy flatweed,1,0,1,1,1,0,1,1,1,2,
2/11/2016,Pandora Holliday,S2,9,3,Ringed Wallaby,1,0,0,1,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,3,Skeleton weed,1,0,0,0,1,1,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,3,Smooth flatweed,0,1,0,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,3,Vulpia m,0,1,1,1,1,1,0,0,0,2,
2/11/2016,Pandora Holliday,S2,9,3,Wire grass,0,1,0,0,1,0,0,0,1,5,
2/11/2016,Pandora Holliday,S2,9,3,Lomandra,0,0,1,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,3,Tri sub,0,0,0,1,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,3,Hairy panic,0,0,0,1,0,0,0,0,1,3,
2/11/2016,Pandora Holliday,S2,9,3,Wurmbea,0,0,0,0,1,0,1,0,0,1,
2/11/2016,Pandora Holliday,S2,9,3,Flat grass,0,0,0,0,1,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,3,Tiny buds,0,0,0,0,0,0,1,0,0,1,
2/11/2016,Pandora Holliday,S2,9,3,Vanilla g,0,0,0,0,0,0,0,1,0,1,
2/11/2016,Pandora Holliday,S2,9,3,Aus scab,0,0,0,0,0,0,0,0,1,1,
2/11/2016,Pandora Holliday,S2,9,3,Bareground,0,0,0,0,0,0,0,0,0,25,
2/11/2016,Pandora Holliday,S2,9,3,Litter,0,0,0,0,0,0,0,0,0,5,
2/11/2016,Pandora Holliday,S2,9,4,Aira,1,1,1,1,1,1,1,1,1,80,
2/11/2016,Pandora Holliday,S2,9,4,Tri arv,1,1,1,1,1,1,1,1,1,3,
2/11/2016,Pandora Holliday,S2,9,4,Ringed Wallaby,1,0,0,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,4,Long leaf forb,1,0,0,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,4,Hairy flatweed,1,1,0,1,1,1,1,1,1,2,
2/11/2016,Pandora Holliday,S2,9,4,Plantain,1,0,0,1,0,0,1,0,0,5,
2/11/2016,Pandora Holliday,S2,9,4,Skeleton weed,1,0,0,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,4,Hairy panic,1,1,1,0,0,0,0,1,1,2,
2/11/2016,Pandora Holliday,S2,9,4,Themeda,0,1,0,0,0,0,1,0,0,7,
2/11/2016,Pandora Holliday,S2,9,4,Redgrass,0,1,0,1,0,0,1,0,0,2,
2/11/2016,Pandora Holliday,S2,9,4,Lomandra,0,0,1,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,4,Aus big,0,0,1,1,1,1,1,1,0,3,
2/11/2016,Pandora Holliday,S2,9,4,Small cranesbill,0,0,1,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,4,Tri scab,0,0,1,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,4,Tri sub,0,0,0,0,1,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,4,Bro hor,0,1,0,0,1,1,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,4,Short wallaby grass,0,0,0,0,1,1,0,0,1,2,
2/11/2016,Pandora Holliday,S2,9,4,Flat grass,0,0,0,0,0,1,0,0,1,3,
2/11/2016,Pandora Holliday,S2,9,4,Vulpia m,0,0,0,1,1,0,1,0,1,2,
2/11/2016,Pandora Holliday,S2,9,4,Wire grass,0,0,0,0,0,0,0,1,0,1,
2/11/2016,Pandora Holliday,S2,9,4,Tri dub,0,0,0,0,0,0,0,1,0,1,
2/11/2016,Pandora Holliday,S2,9,4,Thin fuzzy grass,0,0,0,0,0,0,0,0,1,1,
2/11/2016,Pandora Holliday,S2,9,4,Bareground,0,0,0,0,0,0,0,0,0,45,
2/11/2016,Pandora Holliday,S2,9,4,Litter,0,0,0,0,0,0,0,0,0,3,
2/11/2016,Pandora Holliday,S2,9,2,Aira,1,1,1,1,1,1,1,1,1,75,
2/11/2016,Pandora Holliday,S2,9,2,Skeleton weed,1,1,0,1,1,1,1,1,1,15,
2/11/2016,Pandora Holliday,S2,9,2,Tri arv,1,1,1,1,1,1,1,1,1,7,
2/11/2016,Pandora Holliday,S2,9,2,Plantain,1,1,1,0,0,0,0,0,1,12,
2/11/2016,Pandora Holliday,S2,9,2,Hairy panic,1,0,0,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,2,Small flower Wallaby,1,0,1,1,0,1,0,0,0,4,
2/11/2016,Pandora Holliday,S2,9,2,Tri sub,1,1,1,0,1,0,0,0,0,5,
2/11/2016,Pandora Holliday,S2,9,2,Tri leaf daisy,1,0,1,1,0,0,0,0,0,5,
2/11/2016,Pandora Holliday,S2,9,2,Sheeps bur,1,0,1,0,0,0,0,0,1,1,
2/11/2016,Pandora Holliday,S2,9,2,Aus scab,1,0,1,0,0,1,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,2,Redgrass,1,0,0,0,0,1,1,1,1,10,
2/11/2016,Pandora Holliday,S2,9,2,Hairy flatweed,0,1,0,1,1,1,1,1,0,5,
2/11/2016,Pandora Holliday,S2,9,2,Flat grass,0,1,0,0,0,0,0,0,1,5,
2/11/2016,Pandora Holliday,S2,9,2,Vulpia m,1,1,1,1,1,1,1,1,1,5,
2/11/2016,Pandora Holliday,S2,9,2,Tri scab,0,0,1,1,1,1,0,0,1,3,
2/11/2016,Pandora Holliday,S2,9,2,Short blue wallaby grass,0,0,1,0,0,0,0,0,0,1,original wallaby grass?
2/11/2016,Pandora Holliday,S2,9,2,Bro hor,0,0,0,1,1,1,0,1,1,3,
2/11/2016,Pandora Holliday,S2,9,2,Yellow mullien,0,0,0,0,1,0,0,1,1,7,
2/11/2016,Pandora Holliday,S2,9,2,Tiny dumpling seeds,0,0,0,0,0,1,0,0,0,1,spurge look-a-like
2/11/2016,Pandora Holliday,S2,9,2,Long leaf forb,0,0,0,0,0,0,1,0,1,2,
2/11/2016,Pandora Holliday,S2,9,2,Smooth flatweed,0,0,0,0,0,0,1,1,0,2,
2/11/2016,Pandora Holliday,S2,9,2,Aus big,0,0,0,0,0,0,0,1,0,2,
2/11/2016,Pandora Holliday,S2,9,2,Lomandra,0,0,0,0,0,0,0,0,1,3,
2/11/2016,Pandora Holliday,S2,9,2,Lily creeper,0,0,0,0,0,0,0,0,1,1,
2/11/2016,Pandora Holliday,S2,9,2,Bareground,0,0,0,0,0,0,0,0,0,45,
2/11/2016,Pandora Holliday,S2,9,2,Litter,0,0,0,0,0,0,0,0,0,8,
2/11/2016,Pandora Holliday,S2,9,1,Aira,1,1,1,1,1,1,1,1,1,45,
2/11/2016,Pandora Holliday,S2,9,1,Plantain,1,1,1,1,1,1,1,1,1,18,
2/11/2016,Pandora Holliday,S2,9,1,Vulpia m,1,1,1,1,1,1,1,1,1,10,
2/11/2016,Pandora Holliday,S2,9,1,Tri arv,1,1,1,1,1,1,1,1,1,15,
2/11/2016,Pandora Holliday,S2,9,1,Hairy flatweed,1,0,1,1,1,0,0,0,1,4,
2/11/2016,Pandora Holliday,S2,9,1,Tri scab,1,1,1,0,1,1,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,1,Tri sub,1,1,0,1,0,0,0,0,1,1,
2/11/2016,Pandora Holliday,S2,9,1,Con rub,1,1,0,0,0,0,0,0,1,1,
2/11/2016,Pandora Holliday,S2,9,1,Bro hor,1,0,0,0,0,1,0,0,0,2,
2/11/2016,Pandora Holliday,S2,9,1,Skeleton weed,0,1,1,1,1,1,1,1,0,6,
2/11/2016,Pandora Holliday,S2,9,1,Wurmbea d.,0,1,0,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,1,Avena,0,0,0,1,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,9,1,Long leaf forb,1,1,1,1,1,1,1,0,1,3,
2/11/2016,Pandora Holliday,S2,9,1,Redgrass,0,0,0,0,1,0,0,1,0,2,
2/11/2016,Pandora Holliday,S2,9,1,Smooth flatweed,0,0,0,0,0,1,0,0,0,2,
2/11/2016,Pandora Holliday,S2,9,1,Themeda,0,0,0,0,0,1,0,0,1,10,
2/11/2016,Pandora Holliday,S2,9,1,Vanilla g,0,0,0,0,0,0,1,0,0,2,
2/11/2016,Pandora Holliday,S2,9,1,Ringed Wallaby,0,0,0,0,0,0,0,1,0,2,
2/11/2016,Pandora Holliday,S2,9,1,Bareground,0,0,0,0,0,0,0,0,0,30,
2/11/2016,Pandora Holliday,S2,9,1,Litter,0,0,0,0,0,0,0,0,0,7,
2/11/2016,Pandora Holliday,S2,6,1,Aira,1,1,1,1,1,1,1,1,1,60,
2/11/2016,Pandora Holliday,S2,6,1,Themeda,1,1,1,0,0,0,0,0,0,20,
2/11/2016,Pandora Holliday,S2,6,1,Pinecone grass,0,0,1,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,6,1,Vulpia m,1,0,0,0,1,0,1,1,1,2,
2/11/2016,Pandora Holliday,S2,6,1,Yellow mullien,1,0,0,0,0,0,0,0,1,2,
2/11/2016,Pandora Holliday,S2,6,1,Plantain,1,0,0,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,6,1,Wire grass,1,0,0,0,0,0,0,0,1,10,
2/11/2016,Pandora Holliday,S2,6,1,Tri arv,1,1,1,1,1,1,1,1,0,10,
2/11/2016,Pandora Holliday,S2,6,1,Hairy panic,0,0,0,0,1,0,0,1,1,15,
2/11/2016,Pandora Holliday,S2,6,1,Aus big,1,1,0,1,0,0,0,1,0,5,tough ridge leaf
2/11/2016,Pandora Holliday,S2,6,1,Poa lab,1,1,0,1,0,0,0,0,0,2,
2/11/2016,Pandora Holliday,S2,6,1,Hairy flatweed,1,0,0,0,1,0,1,1,0,3,
2/11/2016,Pandora Holliday,S2,6,1,Tri scab,1,1,0,0,0,0,1,0,0,1,
2/11/2016,Pandora Holliday,S2,6,1,Con rub,0,1,0,0,1,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,6,1,Lily creeper,0,1,1,1,0,1,1,0,0,10,
2/11/2016,Pandora Holliday,S2,6,1,Sheeps bur,0,1,0,0,0,1,0,1,0,3,
2/11/2016,Pandora Holliday,S2,6,1,Fuzzy grass,0,0,1,0,1,1,1,0,1,2,
2/11/2016,Pandora Holliday,S2,6,1,St Johns wort,0,0,1,0,0,1,1,1,0,7,
2/11/2016,Pandora Holliday,S2,6,1,Tri sub,0,0,1,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,6,1,Christmas tree grass,0,0,0,1,0,0,0,0,0,3,
2/11/2016,Pandora Holliday,S2,6,1,Tri leaf daisy,0,0,0,1,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,6,1,Hounds tongue,0,0,0,0,0,1,0,0,0,1,
2/11/2016,Pandora Holliday,S2,6,1,Redgrass,0,0,0,0,0,1,0,0,0,5,
2/11/2016,Pandora Holliday,S2,6,1,Vanilla g,0,0,0,0,0,0,1,0,0,1,
2/11/2016,Pandora Holliday,S2,6,1,Bears ear,0,0,0,0,0,0,0,0,1,1,
2/11/2016,Pandora Holliday,S2,6,1,Bareground,0,0,0,0,0,0,0,0,0,20,
2/11/2016,Pandora Holliday,S2,6,1,Litter,0,0,0,0,0,0,0,0,0,15,
2/11/2016,Pandora Holliday,S2,6,2,Aira,1,1,1,1,1,1,1,1,1,70,
2/11/2016,Pandora Holliday,S2,6,2,Themeda,0,0,0,1,0,1,1,0,0,20,
2/11/2016,Pandora Holliday,S2,6,2,Sheeps bur,1,1,0,1,1,0,0,1,0,4,
2/11/2016,Pandora Holliday,S2,6,2,Redgrass,1,0,0,0,0,0,0,0,0,2,
2/11/2016,Pandora Holliday,S2,6,2,Ringed Wallaby,1,1,1,0,1,1,1,1,1,10,
2/11/2016,Pandora Holliday,S2,6,2,Plantain,1,1,0,0,1,1,0,0,0,4,
2/11/2016,Pandora Holliday,S2,6,2,Tri arv,1,1,0,1,1,1,1,1,1,1,
2/11/2016,Pandora Holliday,S2,6,2,Aus big,1,1,0,1,0,1,1,1,1,25,
2/11/2016,Pandora Holliday,S2,6,2,Vulpia m,1,0,1,1,1,0,0,1,1,2,
2/11/2016,Pandora Holliday,S2,6,2,Hairy flatweed,1,0,1,1,0,1,1,1,1,1,
2/11/2016,Pandora Holliday,S2,6,2,Tri scab,0,1,0,0,0,0,1,1,0,1,
2/11/2016,Pandora Holliday,S2,6,2,Christmas tree grass,0,1,0,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,6,2,Hairy panic,0,1,0,0,0,0,0,1,1,3,
2/11/2016,Pandora Holliday,S2,6,2,Wire grass,0,0,1,0,0,0,0,0,1,7,
2/11/2016,Pandora Holliday,S2,6,2,Poa lab,0,0,1,0,0,1,0,0,0,15,
2/11/2016,Pandora Holliday,S2,6,2,Thin fuzzy grass,0,1,1,0,1,1,1,1,1,7,
2/11/2016,Pandora Holliday,S2,6,2,Lomandra,0,0,0,1,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,6,2,Lily creeper,0,0,0,1,1,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,6,2,Vanilla g,0,0,0,0,1,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,6,2,Con rub,0,0,0,0,0,0,1,1,0,1,
2/11/2016,Pandora Holliday,S2,6,2,Bareground,0,0,0,0,0,0,0,0,0,45,
2/11/2016,Pandora Holliday,S2,6,2,Litter,0,0,0,0,0,0,0,0,0,5,
2/11/2016,Pandora Holliday,S2,6,3,Aira,1,1,1,1,1,1,1,1,1,80,
2/11/2016,Pandora Holliday,S2,6,3,Aus big,0,1,0,0,1,0,0,1,1,10,
2/11/2016,Pandora Holliday,S2,6,3,Themeda,1,1,0,1,0,0,0,0,0,7,
2/11/2016,Pandora Holliday,S2,6,3,Wire grass,0,1,0,1,1,0,1,0,0,10,
2/11/2016,Pandora Holliday,S2,6,3,Lomandra,0,1,0,0,1,0,0,0,0,7,
2/11/2016,Pandora Holliday,S2,6,3,Plantain,0,1,0,1,0,1,0,0,0,2,
2/11/2016,Pandora Holliday,S2,6,3,Lom brac,0,0,1,0,0,0,1,0,0,5,
2/11/2016,Pandora Holliday,S2,6,3,Hairy panic,1,1,0,1,1,1,1,0,1,10,
2/11/2016,Pandora Holliday,S2,6,3,Vulpia m,1,1,1,1,1,1,1,1,1,10,
2/11/2016,Pandora Holliday,S2,6,3,Hairy flatweed,1,0,1,0,1,1,0,1,1,3,
2/11/2016,Pandora Holliday,S2,6,3,Tri arv,1,1,0,1,1,0,1,1,1,2,
2/11/2016,Pandora Holliday,S2,6,3,Tri scab,1,0,0,0,0,0,0,1,0,1,
2/11/2016,Pandora Holliday,S2,6,3,Thin fuzzy grass,1,0,0,0,0,1,0,0,1,3,
2/11/2016,Pandora Holliday,S2,6,3,Redgrass,0,1,1,1,1,0,0,0,0,10,
2/11/2016,Pandora Holliday,S2,6,3,Poa lab,0,0,1,0,0,1,0,0,0,5,
2/11/2016,Pandora Holliday,S2,6,3,Christmas tree grass,0,0,1,0,0,0,0,0,0,2,
2/11/2016,Pandora Holliday,S2,6,3,Lily creeper,0,0,1,0,0,1,0,0,0,10,
2/11/2016,Pandora Holliday,S2,6,3,Ringed Wallaby,0,0,0,1,0,0,0,0,1,3,
2/11/2016,Pandora Holliday,S2,6,3,Hounds tongue,0,0,0,1,1,0,0,0,1,1,
2/11/2016,Pandora Holliday,S2,6,3,Tri sub,0,0,0,0,1,0,0,0,1,1,
2/11/2016,Pandora Holliday,S2,6,3,St Johns wort,0,0,0,0,1,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,6,3,Vanilla g,0,0,0,0,0,1,1,0,0,1,
2/11/2016,Pandora Holliday,S2,6,3,Pinecone grass,0,0,0,0,0,1,0,0,0,1,
2/11/2016,Pandora Holliday,S2,6,3,Straight up blade,0,0,0,0,0,1,0,0,0,1,
2/11/2016,Pandora Holliday,S2,6,3,Tiny buds,0,0,0,0,1,1,0,0,1,1,
2/11/2016,Pandora Holliday,S2,6,3,Broad smoothleaf creeper,0,0,0,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,6,3,Bareground,0,0,0,0,0,0,0,1,0,40,
2/11/2016,Pandora Holliday,S2,6,3,Litter,0,0,0,0,0,0,0,0,0,10,
2/11/2016,Pandora Holliday,S2,6,4,Aira,1,1,1,1,1,1,1,1,1,55,
2/11/2016,Pandora Holliday,S2,6,4,Aus big,1,1,1,1,1,1,1,0,1,20,
2/11/2016,Pandora Holliday,S2,6,4,Vulpia m,1,1,1,1,1,0,0,1,0,1,
2/11/2016,Pandora Holliday,S2,6,4,Redgrass,1,0,0,1,0,0,0,0,0,2,
2/11/2016,Pandora Holliday,S2,6,4,Thin fuzzy grass,1,0,0,0,0,0,0,1,0,2,small flower wallaby
2/11/2016,Pandora Holliday,S2,6,4,Hairy flatweed,1,1,1,0,0,1,1,1,0,1,
2/11/2016,Pandora Holliday,S2,6,4,Tri arv,1,1,0,1,0,1,0,1,0,1,
2/11/2016,Pandora Holliday,S2,6,4,Hairy panic,0,0,0,0,1,0,1,1,1,7,possibly the same as christmas tree grass
2/11/2016,Pandora Holliday,S2,6,4,Christmas tree grass,0,1,0,0,0,0,0,0,0,2,
2/11/2016,Pandora Holliday,S2,6,4,Vanilla g,0,1,1,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,6,4,Ringed Wallaby,0,0,0,1,1,1,1,0,1,3,
2/11/2016,Pandora Holliday,S2,6,4,Plantain,0,0,0,0,0,0,1,0,1,2,
2/11/2016,Pandora Holliday,S2,6,4,Wire grass,0,0,0,0,0,0,0,1,0,10,
2/11/2016,Pandora Holliday,S2,6,4,Aus scab,0,0,0,0,0,0,0,0,1,1,
2/11/2016,Pandora Holliday,S2,6,4,Bareground,0,0,0,0,0,0,0,0,0,50,
2/11/2016,Pandora Holliday,S2,6,4,Litter,0,0,0,0,0,0,0,0,0,10,NOTE: samples were mislabelleded - put down plot 9 instead of plot 6
2/11/2016,Pandora Holliday,S2,7,1,Themeda,1,1,1,1,1,1,1,1,1,80,
2/11/2016,Pandora Holliday,S2,7,1,Aira,1,1,1,1,1,1,0,1,1,70,
2/11/2016,Pandora Holliday,S2,7,1,Tri arv,1,1,1,1,0,1,1,1,1,15,
2/11/2016,Pandora Holliday,S2,7,1,Sheeps bur,1,1,0,1,0,0,0,1,1,10,
2/11/2016,Pandora Holliday,S2,7,1,Tri dub,1,1,1,0,1,0,0,1,0,4,
2/11/2016,Pandora Holliday,S2,7,1,Hairy flatweed,1,1,1,1,1,1,0,1,0,2,
2/11/2016,Pandora Holliday,S2,7,1,Con rub,0,0,0,1,1,0,1,1,0,2,
2/11/2016,Pandora Holliday,S2,7,1,Tri scab,1,0,0,0,0,1,0,0,1,1,
