date,site,observer,quadrat,id,1_pc,1_9,2_pc,2_9,3_pc,3_9,4_pc,4_9,5_pc,5_9,6_pc,6_9,7_pc,7_9,8_pc,8_9,9_pc,9_9,10_pc,10_9
13/11/2011,w5,Pax,2,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,1.00,1,2.00,4,0.00,0,0.00,0,0.00,0,0.00,0
13/11/2011,w5,John,3,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,3,0.00,0,1.00,1,2.00,4,2.00,1
12/11/2011,s2,Group,1,austral bears ear,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
12/11/2011,s2,Group,3,austral bears ear,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
12/11/2011,s2,Group,4,austral bears ear,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Don,1,austral bears ear,1.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,1,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Group,2,austral bears ear,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,5.00,4,0.00,0
5/11/2011,s3,Group,4,austral bears ear,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
13/11/2011,s5,Group,1,austral bears ear,1.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
13/11/2011,s5,"Nola, Penny",2,austral bears ear,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
13/11/2011,s5,Group,3,austral bears ear,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
29/10/2011,s1,Don,1,Austral crassula (succulent),1.00,2,0.00,0,0.00,0,0.00,0,5.00,8,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
29/10/2011,s1,Don,2,Austral crassula (succulent),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
12/11/2011,s1,Group,4,Austral crassula (succulent),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Don,1,Austral crassula (succulent),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,5.00,6,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Group,2,Austral crassula (succulent),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Group,4,Austral crassula (succulent),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,3,0.00,0,0.00,0,0.00,0
30/10/2011,s4,Don,1,Austral crassula (succulent),0.00,0,1.00,4,1.00,2,1.00,1,10.00,9,1.00,3,1.00,7,0.00,0,0.00,0,1.00,5
30/10/2011,s4,Robyn Whipp,2,Austral crassula (succulent),0.00,0,1.00,3,1.00,1,1.00,2,1.00,1,1.00,6,1.00,3,1.00,5,0.00,0,1.00,2
30/10/2011,s4,John Fitzgerald,3,Austral crassula (succulent),0.00,0,1.00,9,1.00,4,2.00,6,2.00,9,0.00,0,1.00,4,0.00,0,0.00,0,1.00,5
30/10/2011,s4,Group,4,Austral crassula (succulent),0.00,0,1.00,2,1.00,3,1.00,5,3.00,9,2.00,8,1.00,5,3.00,3,0.00,0,2.00,8
13/11/2011,s5,Group,1,Austral crassula (succulent),1.00,6,1.00,1,0.00,0,2.00,5,0.00,0,0.00,0,1.00,1,1.00,1,0.00,0,0.00,0
13/11/2011,s5,"Nola, Penny",2,Austral crassula (succulent),0.00,0,0.00,0,0.00,0,3.00,5,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
13/11/2011,s5,Group,3,Austral crassula (succulent),4.00,4,0.00,0,0.00,0,1.00,3,0.00,0,0.00,0,1.00,1,0.00,0,0.00,0,0.00,0
6/11/2011,w3,Don,1,Austral crassula (succulent),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
6/11/2011,w3,Group,3,Austral crassula (succulent),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
6/11/2011,w3,Andrew,4,Austral crassula (succulent),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
2/11/2011,w4,Don,1,Austral crassula (succulent),0.00,0,0.00,0,1.00,1,0.00,0,0.00,0,2.00,4,0.00,0,3.00,3,0.00,0,1.00,1
14/11/2011,w4,Group,2,Austral crassula (succulent),0.00,0,0.00,0,1.00,4,0.00,0,0.00,0,1.00,4,0.00,0,3.00,5,0.00,0,0.00,0
14/11/2011,w4,Group,4,Austral crassula (succulent),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,1,0.00,0,0.00,0
13/11/2011,w5,Don,1,Austral crassula (succulent),0.00,0,0.00,0,2.00,1,0.00,0,0.00,0,1.00,2,0.00,0,0.00,0,0.00,0,0.00,0
13/11/2011,w5,Pax,2,Austral crassula (succulent),0.00,0,0.00,0,0.00,0,0.00,0,1.00,3,1.00,5,0.00,0,0.00,0,1.00,1,0.00,0
13/11/2011,w5,John,3,Austral crassula (succulent),2.00,6,0.00,0,1.00,1,0.00,0,0.00,0,6.00,9,0.00,0,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Don,1,austral sunray (wattle daisy),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Group,2,austral sunray (wattle daisy),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Group,4,austral sunray (wattle daisy),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,1,0.00,0,0.00,0,0.00,0
30/10/2011,s4,Don,1,austral sunray (wattle daisy),0.00,0,8.00,6,0.00,0,5.00,5,0.00,0,1.00,1,3.00,3,1.00,1,0.00,0,0.00,0
30/10/2011,s4,Robyn Whipp,2,austral sunray (wattle daisy),0.00,0,1.00,1,0.00,0,5.00,5,0.00,0,5.00,5,0.00,0,0.00,0,0.00,0,0.00,0
30/10/2011,s4,John Fitzgerald,3,austral sunray (wattle daisy),0.00,0,10.00,6,0.00,0,5.00,7,0.00,0,12.00,2,8.00,4,1.00,2,0.00,0,0.00,0
30/10/2011,s4,Group,4,austral sunray (wattle daisy),0.00,0,0.00,0,0.00,0,1.00,3,5.00,6,1.00,3,1.00,7,1.00,1,0.00,0,0.00,0
13/11/2011,s5,Group,1,austral sunray (wattle daisy),3.00,8,0.00,0,1.00,1,1.00,4,2.00,4,1.00,2,1.00,1,1.00,1,1.00,3,0.00,0
13/11/2011,s5,"Nola, Penny",2,austral sunray (wattle daisy),10.00,9,0.00,0,0.00,0,25.00,9,0.00,0,1.00,1,0.00,0,0.00,0,4.00,8,0.00,0
13/11/2011,s5,Group,3,austral sunray (wattle daisy),2.00,2,0.00,0,0.00,0,0.00,0,0.00,0,5.00,4,0.00,0,0.00,0,2.00,5,0.00,0
5/11/2011,s3,Don,1,Austrodanthonia small hairless,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Group,2,Austrodanthonia small hairless,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,15.00,6,0.00,0
5/11/2011,s3,Group,4,Austrodanthonia small hairless,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Don,1,Austrodanthonia sp (no flowers),10.00,5,12.00,8,10.00,2,15.00,8,5.00,3,10.00,6,10.00,8,10.00,5,10.00,5,18.00,9
5/11/2011,s3,Group,2,Austrodanthonia sp (no flowers),15.00,9,25.00,9,0.00,0,11.00,2,10.00,2,10.00,9,8.00,7,4.00,5,0.00,0,0.00,0
5/11/2011,s3,Group,4,Austrodanthonia sp (no flowers),36.00,7,9.00,8,10.00,4,19.00,6,5.00,3,10.00,4,8.00,8,10.00,6,8.00,4,25.00,9
12/11/2011,s2,Group,1,Austrodanthonia sp.,9.00,8,0.00,0,0.00,0,0.00,0,0.00,0,8.00,5,20.00,8,1.00,1,1.00,3,0.00,0
12/11/2011,s2,Group,3,Austrodanthonia sp.,15.00,7,0.00,0,2.00,3,20.00,8,0.00,0,10.00,6,0.00,0,0.00,0,3.00,3,1.00,1
5/11/2011,s3,Group,2,Austrodanthonia sp.,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,21.00,9
30/10/2011,s4,Don,1,Austrodanthonia sp.,0.00,0,0.00,0,5.00,5,10.00,7,15.00,9,0.00,0,5.00,2,30.00,9,45.00,9,0.00,0
30/10/2011,s4,Robyn Whipp,2,Austrodanthonia sp.,1.00,1,0.00,0,1.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
30/10/2011,s4,John Fitzgerald,3,Austrodanthonia sp.,0.00,0,1.00,2,1.00,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,15.00,9,15.00,6
30/10/2011,s4,Group,4,Austrodanthonia sp.,0.00,0,5.00,2,0.00,0,0.00,0,0.00,0,2.00,2,2.00,2,0.00,0,0.00,0,5.00,4
13/11/2011,s5,Group,3,Austrodanthonia sp.,4.00,3,1.00,2,7.00,8,1.00,1,0.00,0,5.00,3,4.00,4,7.00,4,10.00,7,0.00,0
6/11/2011,w3,Don,1,Austrodanthonia sp.,5.00,4,12.00,9,5.00,4,15.00,5,25.00,9,8.00,4,18.00,8,15.00,7,18.00,8,3.00,3
6/11/2011,w3,Group,3,Austrodanthonia sp.,25.00,9,5.00,3,7.00,3,1.00,2,0.00,0,5.00,5,10.00,8,19.00,9,10.00,7,6.00,5
6/11/2011,w3,Andrew,4,Austrodanthonia sp.,8.00,14,41.00,9,2.00,2,6.00,6,0.00,0,0.00,0,17.00,9,12.00,9,30.00,9,20.00,9
2/11/2011,w4,Don,1,Austrodanthonia sp.,2.00,2,5.00,4,20.00,9,10.00,4,4.00,2,20.00,7,20.00,9,15.00,9,8.00,6,20.00,9
14/11/2011,w4,Group,2,Austrodanthonia sp.,2.00,2,20.00,9,10.00,6,8.00,5,2.00,1,20.00,9,0.00,0,40.00,9,20.00,4,8.00,6
14/11/2011,w4,Group,4,Austrodanthonia sp.,0.00,0,25.00,5,15.00,9,0.00,0,9.00,4,10.00,4,6.00,6,20.00,7,40.00,8,10.00,9
13/11/2011,w5,Don,1,Austrodanthonia sp.,8.00,4,4.00,2,8.00,7,12.00,6,57.00,9,6.00,5,6.00,4,0.00,0,0.00,0,0.00,0
13/11/2011,w5,John,3,Austrodanthonia sp.,1.00,2,3.00,4,2.00,3,15.00,5,20.00,9,1.00,1,10.00,9,30.00,9,1.00,1,22.00,7
30/10/2011,s4,Don,1,Austrostipa bigeniculata,0.00,0,0.00,0,0.00,0,4.00,2,0.00,0,0.00,0,2.00,1,0.00,0,0.00,0,0.00,0
30/10/2011,s4,Robyn Whipp,2,Austrostipa bigeniculata,1.00,1,1.00,1,0.00,0,9.00,9,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
30/10/2011,s4,John Fitzgerald,3,Austrostipa bigeniculata,1.00,1,0.00,0,0.00,0,2.00,4,0.00,0,0.00,0,2.00,2,0.00,0,0.00,0,0.00,0
30/10/2011,s4,Group,4,Austrostipa bigeniculata,0.00,0,0.00,0,5.00,4,0.00,0,15.00,5,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
12/11/2011,w2,Don,1,Austrostipa bigeniculata,0.00,0,0.00,0,0.00,0,3.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
12/11/2011,w2,Nola,2,Austrostipa bigeniculata,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
12/11/2011,w2,Pax,4,Austrostipa bigeniculata,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Group,2,Austrostipa scabra,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,3.00,3
29/10/2011,s1,Don,1,bare ground,0.00,0,0.00,0,10.00,4,0.00,0,25.00,7,0.00,0,5.00,3,2.00,2,15.00,9,0.00,0
29/10/2011,s1,Don,2,bare ground,0.00,0,0.00,0,3.00,2,5.00,3,0.00,0,0.00,0,20.00,6,0.00,0,8.00,7,0.00,0
12/11/2011,s1,Group,4,bare ground,0.00,0,5.00,1,5.00,4,0.00,0,0.00,0,0.00,0,20.00,5,0.00,0,10.00,4,0.00,0
12/11/2011,s2,Group,1,bare ground,5.00,5,0.00,0,15.00,7,70.00,9,4.00,5,40.00,8,0.00,0,0.00,0,10.00,3,0.00,0
12/11/2011,s2,Group,3,bare ground,5.00,4,0.00,0,4.00,3,5.00,3,0.00,0,20.00,8,5.00,5,0.00,0,16.00,9,1.00,3
12/11/2011,s2,Group,4,bare ground,0.00,0,0.00,0,0.00,0,5.00,4,0.00,0,15.00,6,0.00,0,0.00,0,1.00,3,0.00,0
5/11/2011,s3,Don,1,bare ground,0.00,0,0.00,0,0.00,0,0.00,0,1.00,1,10.00,8,6.00,9,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Group,2,bare ground,0.00,0,10.00,3,0.00,0,0.00,0,0.00,0,0.00,0,8.00,9,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Group,4,bare ground,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,10.00,6,20.00,9,0.00,0,0.00,0
30/10/2011,s4,Don,1,bare ground,10.00,6,0.00,0,0.00,0,5.00,5,10.00,8,0.00,0,5.00,5,0.00,0,1.00,1,5.00,9
30/10/2011,s4,Robyn Whipp,2,bare ground,30.00,9,25.00,9,10.00,9,30.00,9,5.00,3,20.00,9,15.00,9,10.00,8,4.00,2,15.00,9
30/10/2011,s4,John Fitzgerald,3,bare ground,20.00,8,10.00,8,10.00,4,20.00,9,35.00,7,0.00,0,5.00,6,5.00,9,5.00,5,5.00,3
30/10/2011,s4,Group,4,bare ground,40.00,9,20.00,9,20.00,9,30.00,9,10.00,8,30.00,9,1.00,3,8.00,2,10.00,6,18.00,9
13/11/2011,s5,Group,1,bare ground,3.00,8,0.00,0,0.00,0,10.00,3,10.00,3,1.00,1,0.00,0,0.00,0,0.00,0,0.00,0
13/11/2011,s5,"Nola, Penny",2,bare ground,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,5.00,6,0.00,0
13/11/2011,s5,Group,3,bare ground,5.00,2,0.00,0,0.00,0,10.00,9,0.00,0,0.00,0,5.00,5,0.00,0,10.00,9,0.00,0
29/10/2011,w1,Felicity,2,bare ground,0.00,0,5.00,9,10.00,4,2.00,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
29/10/2011,w1,Don,4,bare ground,0.00,0,10.00,6,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,4.00,1,10.00,6,0.00,0
29/10/2011,w1,Group,4,bare ground,0.00,0,2.00,2,0.00,0,2.00,2,0.00,0,0.00,0,0.00,0,4.00,3,5.00,4,0.00,0
29/10/2011,w1,Don,4,bare ground,0.00,0,8.00,7,0.00,0,2.00,3,0.00,0,0.00,0,1.00,1,5.00,7,15.00,9,0.00,0
12/11/2011,w2,Don,1,bare ground,2.00,5,0.00,0,0.00,0,0.00,0,2.00,3,10.00,5,0.00,0,0.00,0,25.00,8,0.00,0
12/11/2011,w2,Nola,2,bare ground,0.00,0,0.00,0,0.00,0,0.00,0,20.00,4,5.00,2,15.00,7,0.00,0,0.00,0,0.00,0
12/11/2011,w2,Pax,4,bare ground,0.00,0,0.00,0,0.00,0,0.00,0,2.00,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
6/11/2011,w3,Don,1,bare ground,2.00,3,7.00,6,0.00,0,0.00,0,10.00,6,0.00,0,5.00,3,1.00,2,12.00,9,0.00,0
